animal,food,preference,time_of_day,timestamp
Cat,Apple,4,Afternoon,2024-06-24 06:13:32
Dog,Watermelon,5,Morning,2024-02-08 09:13:58
Cat,Grape,5,Morning,2024-05-03 19:37:58
bird,Grape,1,Afternoon,2024-02-02 10:35:08
bird,Apple,4,Evening,2024-03-20 08:16:22
Cat,Apple,4,Afternoon,2024-04-12 13:29:42
Dog,Orange,5,Morning,2024-04-13 05:59:58
Cat,Apple,2,Evening,2024-07-13 20:21:04
bird,Grape,4,Afternoon,2024-05-30 18:26:12
Dog,Orange,2,Afternoon,2024-03-06 02:51:18
bird,Watermelon,1,Morning,2024-01-31 07:43:15
Cat,Apple,1,Evening,2024-05-16 01:52:29
bird,Orange,5,Afternoon,2024-05-20 16:00:39
Dog,Watermelon,5,Morning,2024-01-05 18:59:54
bird,Watermelon,1,Evening,2024-05-31 11:55:33
Cat,Apple,2,Afternoon,2024-06-13 17:39:24
bird,Orange,5,Evening,2024-04-28 18:21:12
Dog,Banana,1,Evening,2024-05-11 13:06:54
Dog,Apple,1,Morning,2024-03-27 11:36:59
Cat,Apple,3,Morning,2024-02-28 07:44:38
bird,Apple,1,Evening,2024-05-25 15:17:28
bird,Banana,1,Evening,2024-03-17 12:47:26
Cat,Watermelon,1,Morning,2024-03-29 11:12:43
Dog,Apple,4,Afternoon,2024-06-27 04:12:53
Dog,Banana,1,Morning,2024-01-21 13:44:25
bird,Watermelon,2,Evening,2024-05-18 01:46:38
Dog,Watermelon,2,Afternoon,2024-06-25 21:05:48
Cat,Grape,5,Morning,2024-02-29 19:06:59
bird,Apple,5,Evening,2024-04-02 21:32:37
bird,Watermelon,2,Morning,2024-05-18 10:10:36
bird,Orange,4,Morning,2024-03-31 11:18:07
Cat,Grape,3,Morning,2024-03-23 01:51:29
bird,Banana,2,Afternoon,2024-04-29 21:54:33
bird,Watermelon,2,Morning,2024-03-08 10:19:50
Dog,Grape,3,Morning,2024-06-29 14:23:04
Cat,Orange,2,Morning,2024-01-21 09:28:07
Dog,Grape,5,Afternoon,2024-04-08 20:59:03
Dog,Orange,5,Evening,2024-05-25 17:12:17
bird,Apple,1,Afternoon,2024-06-01 23:46:49
Cat,Grape,1,Evening,2024-06-14 05:16:16
Dog,Apple,5,Evening,2024-04-08 12:51:00
Dog,Watermelon,3,Afternoon,2024-03-27 08:18:14
Dog,Orange,2,Afternoon,2024-05-05 21:47:02
Cat,Apple,2,Evening,2024-01-25 17:12:11
Cat,Banana,1,Afternoon,2024-05-13 10:04:55
bird,Apple,1,Morning,2024-03-30 18:55:38
bird,Banana,4,Morning,2024-01-29 23:13:19
bird,Grape,1,Evening,2024-03-05 03:15:37
Cat,Apple,2,Morning,2024-05-28 01:14:46
Cat,Banana,5,Afternoon,2024-07-06 21:40:29
bird,Banana,3,Evening,2024-01-17 18:28:00
Cat,Watermelon,2,Morning,2024-06-27 19:21:59
Cat,Orange,3,Evening,2024-02-04 19:12:47
Dog,Orange,5,Morning,2024-01-23 19:05:23
Dog,Banana,1,Afternoon,2024-01-20 19:54:37
Cat,Banana,4,Afternoon,2024-04-09 16:20:25
Cat,Orange,1,Afternoon,2024-05-02 22:27:48
Cat,Banana,1,Evening,2024-04-14 23:19:00
bird,Watermelon,5,Morning,2024-01-11 14:00:13
bird,Banana,5,Evening,2024-04-10 23:57:55
bird,Watermelon,3,Morning,2024-05-31 20:35:48
Cat,Grape,4,Evening,2024-06-28 10:19:19
bird,Apple,1,Afternoon,2024-03-28 08:08:52
Cat,Grape,3,Evening,2024-07-15 03:14:47
Cat,Orange,4,Afternoon,2024-02-07 01:44:50
Dog,Apple,4,Evening,2024-04-07 02:14:38
Cat,Orange,3,Afternoon,2024-04-03 02:19:29
Dog,Banana,4,Morning,2024-05-21 19:12:29
Dog,Watermelon,1,Morning,2024-02-24 19:33:17
Dog,Banana,5,Evening,2024-02-07 04:17:30
bird,Banana,3,Evening,2024-01-06 03:01:18
Dog,Apple,5,Evening,2024-05-22 06:51:22
bird,Banana,4,Afternoon,2024-07-05 04:11:49
Dog,Grape,5,Evening,2024-01-02 18:58:01
bird,Watermelon,1,Evening,2024-03-04 14:47:55
Cat,Watermelon,2,Afternoon,2024-04-27 03:37:23
Dog,Apple,3,Morning,2024-06-24 20:34:46
Dog,Apple,1,Evening,2024-05-05 02:08:19
Cat,Apple,5,Evening,2024-01-08 13:36:43
Cat,Watermelon,2,Evening,2024-03-04 01:21:33
Cat,Grape,2,Evening,2024-05-31 19:00:08
Cat,Orange,1,Evening,2024-01-13 11:20:56
Dog,Orange,4,Afternoon,2024-01-16 16:06:40
bird,Banana,2,Evening,2024-04-26 22:28:40
Dog,Apple,4,Afternoon,2024-06-02 17:37:27
Dog,Apple,2,Afternoon,2024-06-04 00:30:56
Dog,Apple,2,Afternoon,2024-05-31 08:07:41
Dog,Orange,3,Evening,2024-02-27 00:25:36
bird,Apple,4,Afternoon,2024-03-27 23:25:00
Dog,Apple,2,Afternoon,2024-02-17 07:01:23
Cat,Grape,5,Afternoon,2024-05-06 10:11:10
Dog,Watermelon,1,Evening,2024-06-12 16:43:18
Cat,Grape,3,Morning,2024-05-06 13:03:27
bird,Apple,2,Afternoon,2024-06-06 11:25:42
bird,Orange,3,Afternoon,2024-03-24 08:35:02
Cat,Grape,2,Afternoon,2024-01-11 01:26:14
Cat,Banana,5,Afternoon,2024-04-20 15:16:33
Dog,Grape,2,Morning,2024-02-07 18:54:41
Dog,Watermelon,5,Afternoon,2024-04-14 06:37:59
bird,Banana,5,Evening,2024-01-18 07:29:14
Dog,Watermelon,5,Evening,2024-05-20 12:47:14
bird,Grape,1,Evening,2024-04-05 07:17:06
bird,Apple,5,Evening,2024-02-11 03:59:57
bird,Orange,1,Afternoon,2024-05-17 04:31:23
Cat,Apple,3,Afternoon,2024-06-13 15:40:50
bird,Grape,4,Morning,2024-03-22 22:42:29
bird,Orange,1,Evening,2024-04-02 04:01:12
Dog,Banana,5,Afternoon,2024-05-29 20:10:56
bird,Orange,3,Evening,2024-05-23 22:48:26
Dog,Orange,4,Afternoon,2024-04-14 23:00:52
Dog,Apple,1,Afternoon,2024-03-05 22:29:32
bird,Grape,1,Morning,2024-05-20 11:19:25
Dog,Banana,3,Afternoon,2024-07-11 06:29:23
Dog,Banana,2,Afternoon,2024-04-05 14:36:05
bird,Apple,5,Morning,2024-04-05 10:08:23
Dog,Grape,5,Evening,2024-02-25 04:02:49
Dog,Grape,5,Morning,2024-06-19 23:06:51
Cat,Orange,3,Afternoon,2024-03-18 08:37:57
Dog,Banana,1,Evening,2024-04-04 23:56:28
Dog,Grape,3,Evening,2024-01-30 16:49:54
bird,Grape,4,Afternoon,2024-02-09 12:50:25
Cat,Banana,3,Morning,2024-04-07 07:16:34
Cat,Apple,1,Morning,2024-07-11 20:49:43
Dog,Orange,5,Morning,2024-04-08 00:58:39
bird,Apple,1,Evening,2024-05-24 08:46:37
Cat,Orange,3,Afternoon,2024-04-02 01:17:02
Cat,Banana,1,Morning,2024-05-17 00:09:06
Dog,Apple,1,Afternoon,2024-03-30 01:12:18
Dog,Grape,4,Afternoon,2024-02-13 11:11:18
Cat,Grape,3,Evening,2024-02-13 02:16:43
Dog,Watermelon,2,Afternoon,2024-03-23 12:39:05
Dog,Orange,4,Morning,2024-06-19 00:42:20
bird,Orange,5,Morning,2024-07-12 02:06:01
Cat,Orange,2,Morning,2024-02-25 08:17:25
bird,Watermelon,4,Morning,2024-06-22 15:20:49
Cat,Grape,3,Morning,2024-06-24 21:25:44
bird,Apple,1,Afternoon,2024-03-10 07:27:35
Dog,Watermelon,2,Afternoon,2024-03-08 00:22:32
Cat,Banana,2,Evening,2024-05-08 19:35:38
Dog,Watermelon,2,Afternoon,2024-04-21 12:42:39
Dog,Banana,1,Afternoon,2024-02-29 14:01:09
Cat,Banana,5,Afternoon,2024-04-03 10:12:40
Cat,Banana,1,Morning,2024-07-09 05:20:04
bird,Apple,3,Evening,2024-07-02 02:58:05
Dog,Banana,5,Morning,2024-04-22 08:44:45
bird,Apple,4,Morning,2024-05-22 06:43:46
Cat,Watermelon,5,Evening,2024-04-19 08:31:03
bird,Orange,2,Afternoon,2024-07-08 17:44:56
Cat,Banana,2,Morning,2024-02-23 13:26:21
bird,Orange,4,Afternoon,2024-04-21 00:04:13
bird,Watermelon,1,Evening,2024-04-19 16:47:35
Dog,Watermelon,5,Morning,2024-03-11 23:16:32
bird,Watermelon,2,Morning,2024-03-01 03:37:01
Cat,Apple,3,Morning,2024-06-26 01:42:36
Cat,Orange,4,Evening,2024-04-05 11:22:18
bird,Orange,3,Afternoon,2024-05-10 02:59:39
Dog,Orange,1,Morning,2024-06-20 20:31:56
Dog,Watermelon,3,Afternoon,2024-05-03 18:35:49
Cat,Orange,3,Afternoon,2024-07-17 12:08:33
Cat,Watermelon,4,Evening,2024-02-26 21:21:51
Cat,Watermelon,3,Morning,2024-03-25 17:56:36
Dog,Grape,4,Morning,2024-07-11 22:29:50
bird,Grape,5,Morning,2024-01-04 14:48:57
bird,Watermelon,3,Afternoon,2024-03-01 23:23:12
Cat,Grape,1,Morning,2024-06-08 14:56:17
Cat,Banana,2,Afternoon,2024-02-03 08:15:09
bird,Apple,2,Afternoon,2024-04-29 14:19:59
Cat,Orange,2,Morning,2024-03-04 17:43:41
Dog,Banana,5,Afternoon,2024-01-11 13:05:08
Dog,Grape,3,Evening,2024-06-06 17:47:38
Dog,Grape,4,Morning,2024-04-07 02:32:23
Cat,Watermelon,3,Evening,2024-07-01 14:51:53
Cat,Orange,2,Evening,2024-04-19 20:19:33
bird,Watermelon,2,Morning,2024-05-05 21:33:42
Cat,Grape,4,Afternoon,2024-03-29 15:32:32
Dog,Orange,3,Morning,2024-03-13 22:47:54
bird,Grape,4,Afternoon,2024-06-18 23:48:48
Dog,Grape,3,Evening,2024-06-18 14:16:51
Cat,Apple,2,Afternoon,2024-03-14 05:44:12
bird,Orange,4,Morning,2024-06-23 23:45:35
Dog,Apple,3,Morning,2024-02-29 05:46:18
bird,Grape,2,Evening,2024-05-18 15:53:02
Cat,Apple,3,Afternoon,2024-07-17 18:09:25
bird,Apple,1,Afternoon,2024-03-19 22:14:10
Dog,Watermelon,4,Morning,2024-03-04 08:55:55
bird,Watermelon,1,Morning,2024-06-30 06:22:22
Cat,Apple,1,Evening,2024-05-17 06:59:48
Dog,Orange,1,Evening,2024-02-24 07:51:42
bird,Banana,3,Evening,2024-07-14 14:08:10
Dog,Banana,2,Morning,2024-04-21 14:26:16
bird,Banana,2,Morning,2024-04-16 17:45:42
Dog,Watermelon,1,Evening,2024-02-03 23:22:58
Dog,Grape,2,Evening,2024-03-23 23:01:15
Cat,Grape,4,Afternoon,2024-04-16 07:21:18
Cat,Banana,2,Morning,2024-04-21 13:34:49
bird,Watermelon,4,Afternoon,2024-05-03 00:15:19
Dog,Apple,4,Morning,2024-01-06 09:07:18
bird,Apple,2,Morning,2024-04-07 05:49:28
Dog,Banana,5,Evening,2024-04-28 13:42:21
Cat,Banana,2,Evening,2024-06-06 05:04:00
Dog,Grape,1,Morning,2024-05-16 16:34:14
bird,Orange,1,Evening,2024-04-13 20:05:49
Dog,Grape,3,Morning,2024-02-26 20:21:40
Cat,Banana,1,Morning,2024-03-17 09:58:53
bird,Watermelon,1,Afternoon,2024-02-18 22:46:18
Dog,Banana,1,Afternoon,2024-02-06 20:18:41
bird,Grape,3,Morning,2024-05-25 07:18:55
Cat,Grape,1,Afternoon,2024-05-23 19:48:36
Cat,Banana,1,Morning,2024-06-04 16:24:54
Cat,Grape,4,Morning,2024-07-11 20:12:34
bird,Orange,5,Evening,2024-02-09 05:23:48
bird,Watermelon,4,Afternoon,2024-03-01 03:25:49
Dog,Apple,4,Afternoon,2024-07-01 15:05:17
Dog,Apple,1,Afternoon,2024-06-14 17:48:41
bird,Grape,5,Morning,2024-06-16 16:50:46
Cat,Grape,1,Afternoon,2024-07-02 22:10:50
Dog,Banana,5,Morning,2024-04-12 06:29:57
bird,Banana,2,Morning,2024-05-22 04:34:07
Cat,Orange,4,Morning,2024-01-08 11:45:51
Dog,Grape,3,Morning,2024-01-08 09:54:29
Dog,Grape,1,Afternoon,2024-02-29 02:55:37
Cat,Orange,4,Evening,2024-03-13 23:05:52
bird,Grape,5,Afternoon,2024-05-04 20:14:05
bird,Banana,4,Evening,2024-07-10 16:23:04
Cat,Watermelon,2,Afternoon,2024-05-09 03:49:11
bird,Orange,4,Morning,2024-04-01 16:48:11
Cat,Banana,4,Morning,2024-03-06 18:12:16
Dog,Apple,4,Afternoon,2024-04-23 04:01:54
Dog,Watermelon,4,Morning,2024-07-01 02:27:07
Cat,Watermelon,1,Morning,2024-05-31 15:21:11
Cat,Banana,2,Afternoon,2024-05-13 01:33:45
Cat,Orange,3,Afternoon,2024-06-21 05:26:06
Cat,Grape,3,Afternoon,2024-02-10 23:13:19
bird,Banana,2,Afternoon,2024-04-24 04:36:23
Dog,Banana,1,Afternoon,2024-06-25 20:22:16
Dog,Banana,4,Evening,2024-03-08 06:47:28
Cat,Orange,4,Morning,2024-06-04 09:00:31
bird,Grape,1,Evening,2024-02-04 23:47:35
bird,Grape,2,Morning,2024-03-29 20:35:31
bird,Grape,5,Morning,2024-06-15 23:20:27
bird,Apple,2,Morning,2024-03-26 14:40:38
bird,Grape,3,Morning,2024-04-09 02:16:24
Dog,Orange,1,Evening,2024-02-28 09:39:37
bird,Watermelon,2,Afternoon,2024-05-13 18:55:07
bird,Apple,1,Morning,2024-02-13 06:10:07
Cat,Grape,2,Morning,2024-04-08 19:18:20
Dog,Watermelon,5,Morning,2024-03-22 17:16:42
bird,Watermelon,3,Morning,2024-02-10 09:15:10
Cat,Banana,5,Evening,2024-05-21 16:35:40
bird,Apple,4,Evening,2024-06-12 14:54:13
Dog,Watermelon,1,Evening,2024-05-17 08:53:50
Dog,Watermelon,4,Morning,2024-01-17 15:35:16
Dog,Apple,3,Afternoon,2024-02-29 11:46:49
Cat,Watermelon,1,Afternoon,2024-05-14 08:39:04
bird,Apple,5,Afternoon,2024-03-02 03:15:41
Dog,Grape,5,Evening,2024-01-06 01:17:00
bird,Watermelon,1,Evening,2024-07-08 05:35:44
bird,Apple,3,Afternoon,2024-03-08 15:41:59
Dog,Apple,5,Morning,2024-01-12 05:25:51
Cat,Orange,2,Morning,2024-01-20 02:52:53
Cat,Grape,5,Afternoon,2024-02-19 09:44:04
Dog,Banana,5,Afternoon,2024-01-06 01:41:10
Cat,Grape,3,Afternoon,2024-05-29 04:58:19
bird,Grape,3,Afternoon,2024-05-14 06:41:48
Dog,Banana,5,Morning,2024-03-01 14:35:02
Cat,Apple,3,Afternoon,2024-03-05 12:07:01
Cat,Banana,5,Afternoon,2024-02-26 07:19:38
Cat,Apple,5,Afternoon,2024-02-13 21:28:49
bird,Grape,3,Morning,2024-04-18 10:21:21
bird,Banana,2,Afternoon,2024-01-30 13:58:52
bird,Watermelon,2,Evening,2024-03-03 03:10:04
Dog,Apple,1,Afternoon,2024-03-24 08:04:01
Dog,Watermelon,5,Evening,2024-06-11 00:44:59
Dog,Orange,2,Morning,2024-04-05 11:45:38
Cat,Orange,5,Evening,2024-06-15 04:05:38
Dog,Apple,1,Evening,2024-04-12 03:33:22
bird,Watermelon,4,Evening,2024-01-10 22:32:58
Cat,Apple,3,Evening,2024-06-09 23:11:03
bird,Apple,3,Afternoon,2024-03-16 18:32:24
Dog,Apple,4,Evening,2024-03-18 08:48:19
Dog,Banana,4,Afternoon,2024-03-29 06:33:56
Dog,Grape,4,Morning,2024-01-28 00:26:03
Cat,Watermelon,4,Evening,2024-03-03 01:20:07
Cat,Watermelon,3,Evening,2024-04-19 23:11:10
bird,Watermelon,5,Evening,2024-04-25 03:31:30
Cat,Banana,2,Afternoon,2024-06-19 23:45:07
Dog,Grape,3,Morning,2024-04-16 02:21:31
bird,Grape,5,Evening,2024-07-14 14:50:06
bird,Orange,5,Evening,2024-01-04 19:28:20
bird,Orange,2,Morning,2024-04-28 09:58:26
Dog,Orange,1,Morning,2024-05-07 23:33:45
bird,Grape,5,Morning,2024-03-30 07:41:37
Dog,Grape,5,Afternoon,2024-07-15 09:03:36
Cat,Watermelon,2,Evening,2024-02-21 06:29:26
Dog,Watermelon,4,Afternoon,2024-05-16 05:51:13
Dog,Banana,5,Afternoon,2024-02-20 16:05:17
Dog,Banana,5,Morning,2024-07-12 19:16:43
Dog,Watermelon,2,Afternoon,2024-07-07 04:29:39
bird,Grape,4,Evening,2024-02-28 06:41:55
Cat,Banana,2,Evening,2024-03-22 02:47:40
Cat,Watermelon,5,Evening,2024-03-11 05:59:34
bird,Orange,5,Morning,2024-02-10 12:12:57
bird,Grape,4,Morning,2024-06-30 06:22:02
bird,Orange,4,Afternoon,2024-02-04 22:33:38
bird,Apple,2,Evening,2024-02-18 09:00:28
Dog,Orange,3,Evening,2024-06-03 08:32:41
bird,Apple,1,Morning,2024-03-23 08:21:22
Cat,Apple,4,Evening,2024-06-18 05:24:05
Dog,Orange,2,Evening,2024-02-24 20:31:54
bird,Watermelon,2,Morning,2024-01-06 06:05:29
Cat,Banana,4,Morning,2024-05-09 22:49:00
bird,Apple,4,Afternoon,2024-02-13 02:26:02
bird,Watermelon,3,Afternoon,2024-03-02 19:45:20
Cat,Banana,1,Morning,2024-05-17 09:05:48
Cat,Watermelon,1,Morning,2024-06-05 05:51:36
Cat,Banana,4,Afternoon,2024-02-16 12:50:52
